pre,post,component,original_class,original_e_rev,original_tau_rise,original_tau_decay,compartment,compressed_port
CCK_Basket,O_LM,A,GABA_A_slow,-60.0,1.0,8.0,dend,GABA_A_slow__em60__tr1__td8__dend
CCK_Basket,O_LM,A,GABA_A_slow,-60.0,1.0,8.0,soma,GABA_A_slow__em60__tr1__td8__soma
Ivy,O_LM,A,GABA_A_slow,-60.0,2.9,3.1,dend,GABA_A_slow__em60__tr2p9__td3p1__dend
O_LM,O_LM,A,GABA_A_slow,-60.0,0.25,7.5,dend,GABA_A_slow__em60__tr0p25__td7p5__dend
Pyramidal,O_LM,A,AMPA_fast,0.0,0.3,0.6,dend,AMPA_fast__e0__tr0p3__td0p6__dend
PV_Basket,O_LM,A,GABA_A_fast,-60.0,1.0,8.0,soma,GABA_A_fast__em60__tr0p28__td8p4__soma
SCA,O_LM,A,GABA_A_slow,-60.0,1.0,8.0,dend,GABA_A_slow__em60__tr1__td8__dend
CA3,Pyramidal,A,AMPA_fast,0.0,0.5,3.0,dend,AMPA_fast__e0__tr0p5__td3__dend
ECIII,Pyramidal,A,AMPA_slow,0.0,0.5,3.0,dend,AMPA_slow__e0__tr0p5__td3__dend
Axo,Pyramidal,A,GABA_A_fast,-60.0,0.28,8.4,soma,GABA_A_fast__em60__tr0p28__td8p4__soma
Bistratified,Pyramidal,A,GABA_A_slow,-60.0,0.11,9.7,dend,GABA_A_slow__em60__tr0p11__td9p7__dend
CCK_Basket,Pyramidal,A,GABA_A_slow,-60.0,0.2,4.2,dend,GABA_A_slow__em60__tr0p25__td7p5__dend
CCK_Basket,Pyramidal,A,GABA_A_slow,-60.0,0.2,4.2,soma,GABA_A_slow__em60__tr0p25__td7p5__soma
Ivy,Pyramidal,A,GABA_A_slow,-60.0,1.1,11.0,dend,GABA_A_slow__em60__tr1__td8__dend
Neurogliaform,Pyramidal,A,GABA_A_slow,-60.0,9.0,39.0,dend,GABA_A_slow__em60__tr8__td39__dend
Neurogliaform,Pyramidal,B,GABA_B,-90.0,180.0,200.0,dend,GABA_B__em90__tr180__td200__dend
O_LM,Pyramidal,A,GABA_A_slow,-60.0,0.13,11.0,dend,GABA_A_slow__em60__tr0p11__td9p7__dend
Pyramidal,Pyramidal,A,AMPA_fast,0.0,0.1,1.5,dend,AMPA_fast__e0__tr0p3__td0p6__dend
PV_Basket,Pyramidal,A,GABA_A_fast,-60.0,0.3,6.2,soma,GABA_A_fast__em60__tr0p3__td6p2__soma
SCA,Pyramidal,A,GABA_A_slow,-60.0,0.15,3.9,dend,GABA_A_slow__em60__tr0p287__td2p67__dend
CA3,PV_Basket,A,AMPA_fast,0.0,2.0,6.3,dend,AMPA_fast__e0__tr2__td6p3__dend
ECIII,PV_Basket,A,AMPA_slow,0.0,2.0,6.3,dend,AMPA_slow__e0__tr2__td6p3__dend
Bistratified,PV_Basket,A,GABA_A_slow,-60.0,0.287,2.67,dend,GABA_A_slow__em60__tr0p287__td2p67__dend
CCK_Basket,PV_Basket,A,GABA_A_slow,-60.0,0.432,4.49,dend,GABA_A_slow__em60__tr0p432__td4p49__dend
CCK_Basket,PV_Basket,A,GABA_A_slow,-60.0,0.432,4.49,soma,GABA_A_slow__em60__tr0p432__td4p49__soma
Ivy,PV_Basket,A,GABA_A_slow,-60.0,2.9,3.1,dend,GABA_A_slow__em60__tr2p9__td3p1__dend
Neurogliaform,PV_Basket,A,GABA_A_slow,-60.0,8.0,39.0,dend,GABA_A_slow__em60__tr8__td39__dend
Neurogliaform,PV_Basket,B,GABA_B,-90.0,180.0,200.0,dend,GABA_B__em90__tr180__td200__dend
O_LM,PV_Basket,A,GABA_A_slow,-60.0,0.25,7.5,dend,GABA_A_slow__em60__tr0p25__td7p5__dend
Pyramidal,PV_Basket,A,AMPA_fast,0.0,0.07,0.2,dend,AMPA_fast__e0__tr0p07__td0p2__dend
PV_Basket,PV_Basket,A,GABA_A_fast,-60.0,0.08,4.8,soma,GABA_A_fast__em60__tr0p287__td2p67__soma
SCA,PV_Basket,A,GABA_A_slow,-60.0,0.419,4.99,dend,GABA_A_slow__em60__tr0p432__td4p49__dend
CA3,SCA,A,AMPA_fast,0.0,2.0,6.3,dend,AMPA_fast__e0__tr2__td6p3__dend
ECIII,SCA,A,AMPA_slow,0.0,2.0,6.3,dend,AMPA_slow__e0__tr2__td6p3__dend
Bistratified,SCA,A,GABA_A_slow,-60.0,0.287,2.67,dend,GABA_A_slow__em60__tr0p287__td2p67__dend
CCK_Basket,SCA,A,GABA_A_slow,-60.0,0.432,4.49,dend,GABA_A_slow__em60__tr0p432__td4p49__dend
CCK_Basket,SCA,A,GABA_A_slow,-60.0,0.432,4.49,soma,GABA_A_slow__em60__tr0p432__td4p49__soma
Ivy,SCA,A,GABA_A_slow,-60.0,2.9,3.1,dend,GABA_A_slow__em60__tr2p9__td3p1__dend
Neurogliaform,SCA,A,GABA_A_slow,-60.0,8.0,39.0,dend,GABA_A_slow__em60__tr8__td39__dend
Neurogliaform,SCA,B,GABA_B,-90.0,180.0,200.0,dend,GABA_B__em90__tr180__td200__dend
O_LM,SCA,A,GABA_A_slow,-60.0,0.07,29.0,dend,GABA_A_slow__em60__tr0p11__td9p7__dend
Pyramidal,SCA,A,AMPA_fast,0.0,0.3,0.6,dend,AMPA_fast__e0__tr0p3__td0p6__dend
PV_Basket,SCA,A,GABA_A_fast,-60.0,0.287,2.67,soma,GABA_A_fast__em60__tr0p287__td2p67__soma
SCA,SCA,A,GABA_A_slow,-60.0,0.2,2.0,dend,GABA_A_slow__em60__tr0p287__td2p67__dend
CA3,Axo,A,AMPA_fast,0.0,2.0,6.3,dend,AMPA_fast__e0__tr2__td6p3__dend
ECIII,Axo,A,AMPA_slow,0.0,2.0,6.3,dend,AMPA_slow__e0__tr2__td6p3__dend
Bistratified,Axo,A,GABA_A_slow,-60.0,0.287,2.67,dend,GABA_A_slow__em60__tr0p287__td2p67__dend
CCK_Basket,Axo,A,GABA_A_slow,-60.0,0.432,4.49,dend,GABA_A_slow__em60__tr0p432__td4p49__dend
CCK_Basket,Axo,A,GABA_A_slow,-60.0,0.432,4.49,soma,GABA_A_slow__em60__tr0p432__td4p49__soma
Ivy,Axo,A,GABA_A_slow,-60.0,2.9,3.1,dend,GABA_A_slow__em60__tr2p9__td3p1__dend
Neurogliaform,Axo,A,GABA_A_slow,-60.0,8.0,39.0,dend,GABA_A_slow__em60__tr8__td39__dend
Neurogliaform,Axo,B,GABA_B,-90.0,180.0,200.0,dend,GABA_B__em90__tr180__td200__dend
O_LM,Axo,A,GABA_A_slow,-60.0,0.728,10.0,dend,GABA_A_slow__em60__tr1__td8__dend
Pyramidal,Axo,A,AMPA_fast,0.0,0.3,0.6,dend,AMPA_fast__e0__tr0p3__td0p6__dend
PV_Basket,Axo,A,GABA_A_fast,-60.0,0.287,2.67,soma,GABA_A_fast__em60__tr0p287__td2p67__soma
SCA,Axo,A,GABA_A_slow,-60.0,0.419,4.99,dend,GABA_A_slow__em60__tr0p432__td4p49__dend
