전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
3,SR,1,200.0,0,post,2,1800.0,-1.5208005799571802,-1.3159836133321128,1802.8000000000002,-1.5208005799571802,-1.774714887140617,2
3,SR,1,200.0,0,post,3,2000.0,-1.4947679033702512,-1.299140309294065,2002.8000000000002,-1.4947679033702512,-1.749070882797522,2
3,SR,1,200.0,0,post,4,2200.0,-1.4861873527711822,-1.2935028870900473,2202.8,-1.4861873527711822,-1.7405265569761774,2
4,SR,1,0.0,1,base,1,200.0,-0.29668474320308996,-0.5382667432228724,204.8,-0.29668474320308996,-0.24693340063098523,2
4,SR,1,0.0,1,base,2,400.0,-0.38114422595280967,-0.6463956485191981,405.20000000000005,-0.38114422595280967,-0.2887010574340713,2
4,SR,1,0.0,1,base,3,600.0,-0.4062916274358611,-0.676820789774259,605.2,-0.4062916274358611,-0.2987775206567143,2
4,SR,1,0.0,1,post,1,1600.0,-0.4521317119748079,-0.7285662492116293,1605.2,-0.4521317119748079,-0.31428694725057205,2
4,SR,1,0.0,1,post,2,1800.0,-0.4294102237614883,-0.7039979298909506,1805.2,-0.4294102237614883,-0.3070695698264596,2
4,SR,1,0.0,1,post,3,2000.0,-0.4230027233562118,-0.696577325463295,2005.2,-0.4230027233562118,-0.30487045645741434,2
4,SR,1,0.0,1,post,4,2200.0,-0.4208821944321189,-0.6940920551617941,2205.2000000000003,-0.4208821944321189,-0.30412495136273937,2
5,SP,1,200.0,0,base,1,200.0,-0.025095839851744507,-0.1679460232456525,209.20000000000002,-0.025095839851744507,-0.025870584628799924,10
5,SP,1,200.0,0,base,2,400.0,-0.030473015305972732,-0.20134882380565006,409.20000000000005,-0.030473015305972732,-0.03154800245256115,10
5,SP,1,200.0,0,base,3,600.0,-0.031981905104026966,-0.21023802707592648,609.2,-0.031981905104026966,-0.03315556229966991,10
5,SP,1,200.0,0,post,1,1600.0,-0.034627905990095784,-0.22436723858118057,1609.2,-0.034627905990095784,-0.0358605877016679,10
5,SP,1,200.0,0,post,2,1800.0,-0.033328467067465666,-0.21793208519617718,1809.2,-0.033328467067465666,-0.03458037701519772,10
5,SP,1,200.0,0,post,3,2000.0,-0.032959560010369225,-0.2158598278959592,2009.2,-0.032959560010369225,-0.03419294863036786,10
5,SP,1,200.0,0,post,4,2200.0,-0.032836713542246564,-0.2151595850785573,2209.2000000000003,-0.032836713542246564,-0.034062952254755724,10
6,SP,1,400.0,0,base,1,200.0,0.0,0.00011632591485977173,200.0,0.0,0.0,0
6,SP,1,400.0,0,base,2,400.0,-0.00014023953362513953,-2.3424625396728516e-05,400.8,-0.00014023953362513953,-6.705522528849447e-06,1
6,SP,1,400.0,0,base,3,600.0,-0.00023419244763164655,-4.0466586748777456e-05,600.8000000000001,-0.00023419244763164655,-1.162290571667155e-05,1
6,SP,1,400.0,0,post,1,1600.0,-8.58620593421406e-05,-1.4565885066986084e-05,1600.8000000000002,-8.58620593421406e-05,-4.172325129060989e-06,1
6,SP,1,400.0,0,post,2,1800.0,-0.0002893767898390893,-4.879385232925415e-05,1800.8000000000002,-0.0002893767898390893,-1.3969838601766704e-05,1
6,SP,1,400.0,0,post,3,2000.0,-0.000278834472525455,-4.720439513522523e-05,2000.8000000000002,-0.000278834472525455,-1.3522803766510169e-05,1
6,SP,1,400.0,0,post,4,2200.0,-0.00027557584612683783,-4.6322743097959584e-05,2200.8,-0.00027557584612683783,-1.3262033445943858e-05,1
7,SO,1,600.0,0,base,1,200.0,0.0,5.3667773803084406e-05,200.0,0.0,0.0,0
7,SO,1,600.0,0,base,2,400.0,-0.000193351430711254,-3.276020288467407e-05,400.8,-0.000193351430711254,-9.387731540389226e-06,1
7,SO,1,600.0,0,base,3,600.0,-0.00028604216995260697,-4.8430015643446955e-05,600.8000000000001,-0.00028604216995260697,-1.3876706344423565e-05,1
