variant,post,pre,component,receptor,e_rev_mV,tau_rise_ms,tau_decay_ms,compartment,mechanism,section_list,distance_1,distance_2,port_name
120,Ivy,O_LM,A,GABA_A_slow,-60.0,0.25,7.5,dend,MyExp2Sid,apical_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr0p25__td7p5__dend
120,Ivy,Pyramidal,A,AMPA_fast,0.0,0.3,0.6,dend,MyExp2Sid,apical_list,distance(x)>100,distance(x)<1000,AMPA_fast__e0__tr0p3__td0p6__dend
120,Ivy,PV_Basket,A,GABA_A_fast,-60.0,0.287,2.67,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_fast__em60__tr0p287__td2p67__soma
120,Ivy,SCA,A,GABA_A_slow,-60.0,0.419,4.99,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p419__td4p99__dend
120,Neurogliaform,CA3,A,AMPA_fast,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,y3d(x)>200,distance(x)<1000,AMPA_fast__e0__tr2__td6p3__dend
120,Neurogliaform,ECIII,A,AMPA_slow,0.0,2.0,6.3,dend,MyExp2Sid,dendrite_list,distance(x)>-1,distance(x)<1000,AMPA_slow__e0__tr2__td6p3__dend
120,Neurogliaform,Bistratified,A,GABA_A_slow,-60.0,0.287,2.67,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p287__td2p67__dend
120,Neurogliaform,CCK_Basket,A,GABA_A_slow,-60.0,0.432,4.49,dend,MyExp2Sid,dendrite_list,distance(x)>-1,distance(x)<50,GABA_A_slow__em60__tr0p432__td4p49__dend
120,Neurogliaform,CCK_Basket,A,GABA_A_slow,-60.0,0.432,4.49,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_slow__em60__tr0p432__td4p49__soma
120,Neurogliaform,Ivy,A,GABA_A_slow,-60.0,2.9,3.1,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr2p9__td3p1__dend
120,Neurogliaform,Neurogliaform,A,GABA_A_slow,-60.0,3.1,42.0,dend,ExpGABAab,apical_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr3p1__td42__dend
120,Neurogliaform,Neurogliaform,B,GABA_B,-90.0,180.0,200.0,dend,ExpGABAab,apical_list,distance(x)>200,distance(x)<1000,GABA_B__em90__tr180__td200__dend
120,Neurogliaform,O_LM,A,GABA_A_slow,-60.0,1.3,10.2,dend,MyExp2Sid,apical_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr1p3__td10p2__dend
120,Neurogliaform,PV_Basket,A,GABA_A_fast,-60.0,0.287,2.67,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_fast__em60__tr0p287__td2p67__soma
120,Neurogliaform,SCA,A,GABA_A_slow,-60.0,0.419,4.99,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr0p419__td4p99__dend
120,O_LM,CA3,A,AMPA_fast,0.0,2.0,8.0,dend,MyExp2Sid,dendrite_list,distance(x)>10,distance(x)<1000,AMPA_fast__e0__tr2__td8__dend
120,O_LM,Bistratified,A,GABA_A_slow,-60.0,1.0,8.0,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr1__td8__dend
120,O_LM,CCK_Basket,A,GABA_A_slow,-60.0,1.0,8.0,dend,MyExp2Sid,dendrite_list,distance(x)>-1,distance(x)<50,GABA_A_slow__em60__tr1__td8__dend
120,O_LM,CCK_Basket,A,GABA_A_slow,-60.0,1.0,8.0,soma,MyExp2Sid,soma_list,distance(x)>-1,distance(x)<1000,GABA_A_slow__em60__tr1__td8__soma
120,O_LM,Ivy,A,GABA_A_slow,-60.0,2.9,3.1,dend,MyExp2Sid,dendrite_list,distance(x)>50,distance(x)<200,GABA_A_slow__em60__tr2p9__td3p1__dend
120,O_LM,O_LM,A,GABA_A_slow,-60.0,0.25,7.5,dend,MyExp2Sid,basal_list,distance(x)>200,distance(x)<1000,GABA_A_slow__em60__tr0p25__td7p5__dend
120,O_LM,Pyramidal,A,AMPA_fast,0.0,0.3,0.6,dend,MyExp2Sid,basal_list,distance(x)>100,distance(x)<1000,AMPA_fast__e0__tr0p3__td0p6__dend
