전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
5,SP,1,200.0,0,base,3,600.0,-0.0317846946526181,-0.3512711375951767,629.2,-0.0317846946526181,-0.028656059328246827,17
5,SP,1,200.0,0,post,1,1600.0,-0.06249662164005728,-0.7443681011597316,1608.4,-0.06249662164005728,-0.09468562398357137,10
5,SP,1,200.0,0,post,2,1800.0,-0.06153182684832932,-0.7334660142660141,1808.4,-0.06153182684832932,-0.09478935654208533,10
5,SP,1,200.0,0,post,3,2000.0,-0.06329945939031893,-0.7512738530834515,2008.4,-0.06329945939031893,-0.09797394937877209,10
5,SP,1,200.0,0,post,4,2200.0,-0.05717618123890187,-0.6781486595670383,2208.4,-0.05717618123890187,-0.09858359242484749,10
6,SP,1,400.0,0,base,1,200.0,0.0,0.00011632591485977173,200.0,0.0,0.0,0
6,SP,1,400.0,0,base,2,400.0,-0.001638782647436359,-0.0002763246496518268,400.8,-0.001638782647436359,-7.912516584042348e-05,1
6,SP,1,400.0,0,base,3,600.0,-0.0016800212208657396,-0.0002913624048233032,600.8000000000001,-0.0016800212208657396,-8.378177870767408e-05,1
6,SP,1,400.0,0,post,1,1600.0,-0.001105477609971057,-0.00016912569602328675,1600.8000000000002,-0.001105477609971057,-4.779547446951115e-05,1
6,SP,1,400.0,0,post,2,1800.0,-0.0007755078257740542,-0.00020694235960644347,1800.8000000000002,-0.0007755078257740542,-6.455928079163119e-05,1
6,SP,1,400.0,0,post,3,2000.0,-0.0006759974370661727,-0.0001847123106320514,2000.8000000000002,-0.0006759974370661727,-5.796551697159731e-05,1
6,SP,1,400.0,0,post,4,2200.0,-0.0006864020101994357,-0.00018654018640518188,2200.8,-0.0006864020101994357,-5.844980470979189e-05,1
7,SO,1,600.0,0,base,1,200.0,0.0,5.3667773803084406e-05,200.0,0.0,0.0,0
7,SO,1,600.0,0,base,2,400.0,-0.0015889226226213876,-0.00026063372691473297,400.8,-0.0015889226226213876,-7.433816781288373e-05,1
7,SO,1,600.0,0,base,3,600.0,-0.0016366642435354244,-0.00027288123965263367,600.8000000000001,-0.0016366642435354244,-7.800757875227636e-05,1
7,SO,1,600.0,0,post,1,1600.0,-0.0014822628083713454,-0.0002470264832178659,1600.8000000000002,-0.0014822628083713454,-7.061287751906343e-05,1
7,SO,1,600.0,0,post,2,1800.0,-0.0036524310022399632,-0.0005888156592845917,1800.8000000000002,-0.0036524310022399632,-0.00016754493096385534,1
7,SO,1,600.0,0,post,3,2000.0,-0.0037574547602013376,-0.0006001864870389395,2000.8000000000002,-0.0037574547602013376,-0.00017056241610183693,1
7,SO,1,600.0,0,post,4,2200.0,-0.0037708305816449295,-0.0006017126142978668,2200.8,-0.0037708305816449295,-0.00017097219803415543,1
8,SLM,1,824.6,0,base,1,200.0,-0.17639209689236698,-0.29828683535258005,204.4,-0.17639209689236698,-0.14479637145998106,2
8,SLM,1,824.6,0,base,2,400.0,-0.17625499118477506,-0.2979092597961426,404.40000000000003,-0.17625499118477506,-0.14443874359130335,2
8,SLM,1,824.6,0,base,3,600.0,-0.17625446608847004,-0.29788756370544434,604.4,-0.17625446608847004,-0.14442563056952026,2
8,SLM,1,824.6,0,post,1,1600.0,-0.13726102387756997,-0.5057465235392256,1604.4,-0.13726102387756997,-0.11970935549054476,6
8,SLM,1,824.6,0,post,2,1800.0,-0.13574256941551552,-0.512391209602356,1804.4,-0.13574256941551552,-0.11900418145315128,6
8,SLM,1,824.6,0,post,3,2000.0,-0.13540184075729217,-0.517411470413208,2004.4,-0.13540184075729217,-0.11892918178014401,6
8,SLM,1,824.6,0,post,4,2200.0,-0.13552569444443954,-0.5181782245635986,2204.4,-0.13552569444443954,-0.11892277853828027,6
9,SR,1,632.5,0,base,1,200.0,-0.2824975357184574,-0.48941979805628444,204.4,-0.2824975357184574,-0.22948741912845,2
9,SR,1,632.5,0,base,2,400.0,-0.2822302247937563,-0.4879218737284341,404.40000000000003,-0.2822302247937563,-0.2287101745605385,2
9,SR,1,632.5,0,base,3,600.0,-0.28222849794906846,-0.48784810304641724,604.4,-0.28222849794906846,-0.22868037223825768,2
9,SR,1,632.5,0,post,1,1600.0,-0.4547874774004674,-0.8228084842363992,1604.4,-0.4547874774004674,-0.17864220482962737,5
9,SR,1,632.5,0,post,2,1800.0,-0.44098362259286383,-0.820936600367228,1804.4,-0.44098362259286383,-0.17761153834206334,5
9,SR,1,632.5,0,post,3,2000.0,-0.4507488348361592,-0.8193882902463279,2004.4,-0.4507488348361592,-0.1774736302239735,5
9,SR,1,632.5,0,post,4,2200.0,-0.4905009542445602,-0.8132772843043008,2204.4,-0.4905009542445602,-0.17746383803228746,5
10,SR,1,447.2,0,base,1,200.0,-0.2547827637514548,-0.5942404468854268,206.0,-0.2547827637514548,-0.26448047161102745,4
10,SR,1,447.2,0,base,2,400.0,-0.25125398233688534,-0.596979667743047,406.0,-0.25125398233688534,-0.2635509073734091,4
10,SR,1,447.2,0,base,3,600.0,-0.2511729940755878,-0.5969786643981934,606.0,-0.2511729940755878,-0.2635117173195273,4
10,SR,1,447.2,0,post,1,1600.0,-0.2677611263734932,-1.2270533541838329,1604.4,-0.2677611263734932,-0.12652374804019378,7
10,SR,1,447.2,0,post,2,1800.0,-0.2685930385965088,-1.2289129495620728,1804.4,-0.2685930385965088,-0.1273531573159133,7
10,SR,1,447.2,0,post,3,2000.0,-0.2681074441090317,-1.228173941373825,2008.4,-0.2681074441090317,-0.08201768308477818,8
10,SR,1,447.2,0,post,4,2200.0,-0.26614115312938325,-1.209266980489095,2204.4,-0.26614115312938325,-0.12814145003043997,7
11,SR,1,282.8,0,base,1,200.0,-0.11588578339907006,-0.30145307878653205,206.8,-0.11588578339907006,-0.091659486293778,4
11,SR,1,282.8,0,base,2,400.0,-0.11916007412242756,-0.297277569770813,406.8,-0.11916007412242756,-0.09673543274401704,3
11,SR,1,282.8,0,base,3,600.0,-0.11912178280581366,-0.296923965215683,606.8000000000001,-0.11912178280581366,-0.09690873324872278,3
11,SR,1,282.8,0,post,1,1600.0,-0.6545444354591733,-1.8240021169185638,1608.4,-0.6545444354591733,-0.09357650984418635,9
11,SR,1,282.8,0,post,2,1800.0,-0.6965958796414299,-1.8240522046883902,1808.4,-0.6965958796414299,-0.09520312872800887,8
11,SR,1,282.8,0,post,3,2000.0,-0.26550467354964413,-1.8892108549674353,2008.4,-0.26550467354964413,-0.09133157675918824,11
11,SR,1,282.8,0,post,4,2200.0,-0.264824499735627,-1.8858007540305457,2208.4,-0.264824499735627,-0.09768139503213723,11
12,SP,1,200.0,0,base,1,200.0,-1.2532882400110372,-1.036327416698138,202.0,-1.2532882400110372,-0.5182869133742031,1
12,SP,1,200.0,0,base,2,400.0,-1.2649644627368881,-1.048906999329726,402.0,-1.2649644627368881,-0.5242362615825169,1
12,SP,1,200.0,0,base,3,600.0,-1.265599930599945,-1.0495607480406761,602.0,-1.265599930599945,-0.5245475021362171,1
12,SP,1,200.0,0,post,1,1600.0,-3.4373135047744072,-2.787776959439119,1606.0,-3.4373135047744072,0.062025160500536095,5
12,SP,1,200.0,0,post,2,1800.0,-3.480777117685681,-2.849921906987826,1806.0,-3.480777117685681,0.04848283393820835,5
12,SP,1,200.0,0,post,3,2000.0,-3.4812562036844126,-2.853281185030937,2006.0,-3.4812562036844126,0.053136074633334765,4
12,SP,1,200.0,0,post,4,2200.0,-3.4803291272276655,-2.857774056494236,2208.4,-3.4803291272276655,-0.19167513047392318,7
13,SP,1,282.8,0,base,1,200.0,0.0,0.00019940982262295348,200.0,0.0,0.0,0
13,SP,1,282.8,0,base,2,400.0,-0.01263246042745912,-0.0020924756924311505,400.8,-0.01263246042745912,-0.000597648321835176,1
13,SP,1,282.8,0,base,3,600.0,-0.012932614348329052,-0.00217734525601071,600.8000000000001,-0.012932614348329052,-0.0006233155719594499,1
13,SP,1,282.8,0,post,1,1600.0,-0.01172873762442221,-0.0019507979353268756,1600.8000000000002,-0.01172873762442221,-0.0005574896924678365,1
13,SP,1,282.8,0,post,2,1800.0,-0.03414925512830165,-0.005248020092646299,1800.8000000000002,-0.03414925512830165,-0.0014838576298281901,1
13,SP,1,282.8,0,post,3,2000.0,-0.035363709038425735,-0.005403280258178711,2000.8000000000002,-0.035363709038425735,-0.0015266239624010653,1
13,SP,1,282.8,0,post,4,2200.0,-0.03545510289472649,-0.005416532357533754,2200.8,-0.03545510289472649,-0.0015303492526948699,1
14,SO,1,447.2,0,base,1,200.0,0.0,0.00012880812088650329,200.0,0.0,0.0,0
