전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
5,SP,1,200.0,0,base,3,600.0,-0.0317846946526181,-0.3512711375951767,629.2,-0.0317846946526181,-0.028656059328246827,17
5,SP,1,200.0,0,post,1,1600.0,-0.03242410399162564,-0.3512192691365878,1628.8000000000002,-0.03242410399162564,-0.029028294498426754,16
5,SP,1,200.0,0,post,2,1800.0,-0.03180370782595571,-0.35121676822503406,1829.2,-0.03180370782595571,-0.028658500489059643,17
5,SP,1,200.0,0,post,3,2000.0,-0.03178398787959172,-0.35121776660283405,2029.2,-0.03178398787959172,-0.028652784359805335,17
5,SP,1,200.0,0,post,4,2200.0,-0.03178229037290777,-0.3512089600165685,2229.2000000000003,-0.03178229037290777,-0.0286521141727776,17
6,SP,1,400.0,0,base,1,200.0,0.0,0.00011632591485977173,200.0,0.0,0.0,0
6,SP,1,400.0,0,base,2,400.0,-0.001638782647436359,-0.0002763246496518268,400.8,-0.001638782647436359,-7.912516584042348e-05,1
6,SP,1,400.0,0,base,3,600.0,-0.0016800212208657396,-0.0002913624048233032,600.8000000000001,-0.0016800212208657396,-8.378177870767408e-05,1
6,SP,1,400.0,0,post,1,1600.0,-0.0004316341238614137,-7.079293330508607e-05,1600.8000000000002,-0.0004316341238614137,-2.0191073392420142e-05,1
6,SP,1,400.0,0,post,2,1800.0,-0.0016840128241904318,-0.00028547396262484925,1800.8000000000002,-0.0016840128241904318,-8.180737485194581e-05,1
6,SP,1,400.0,0,post,3,2000.0,-0.0016793280643983492,-0.00029160579045611756,2000.8000000000002,-0.0016793280643983492,-8.385628451353826e-05,1
6,SP,1,400.0,0,post,4,2200.0,-0.0016791393514082546,-0.00029182682434719664,2200.8,-0.0016791393514082546,-8.393079031941435e-05,1
7,SO,1,600.0,0,base,1,200.0,0.0,5.3667773803084406e-05,200.0,0.0,0.0,0
7,SO,1,600.0,0,base,2,400.0,-0.0015889226226213876,-0.00026063372691473297,400.8,-0.0015889226226213876,-7.433816781288373e-05,1
7,SO,1,600.0,0,base,3,600.0,-0.0016366642435354244,-0.00027288123965263367,600.8000000000001,-0.0016366642435354244,-7.800757875227636e-05,1
7,SO,1,600.0,0,post,1,1600.0,-0.0006991656026649988,-0.00011805569132170013,1600.8000000000002,-0.0006991656026649988,-3.380700941627542e-05,1
7,SO,1,600.0,0,post,2,1800.0,-0.0016243706162228314,-0.0002683860560258322,1800.8000000000002,-0.0016243706162228314,-7.662922134355762e-05,1
7,SO,1,600.0,0,post,3,2000.0,-0.0016388017259396017,-0.00027320285638174346,2000.8000000000002,-0.0016388017259396017,-7.810071100961039e-05,1
7,SO,1,600.0,0,post,4,2200.0,-0.0016368892835632702,-0.00027334193388620087,2200.8,-0.0016368892835632702,-7.815659036401745e-05,1
8,SLM,1,824.6,0,base,1,200.0,-0.17639209689236698,-0.29828683535258005,204.4,-0.17639209689236698,-0.14479637145998106,2
8,SLM,1,824.6,0,base,2,400.0,-0.17625499118477506,-0.2979092597961426,404.40000000000003,-0.17625499118477506,-0.14443874359130335,2
8,SLM,1,824.6,0,base,3,600.0,-0.17625446608847004,-0.29788756370544434,604.4,-0.17625446608847004,-0.14442563056952026,2
8,SLM,1,824.6,0,post,1,1600.0,-0.176473578026246,-0.29821221033732126,1604.4,-0.176473578026246,-0.1446831226349824,2
